epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,512.07,0.63761,0.49016,1.02121,0.95055,0.91195,0.95284,0.76398,0.64169,0.49068,0.99278,0.00144916,0.00144916,0.00144916
134,515.697,0.63269,0.50092,1.01297,0.97182,0.89937,0.9551,0.76193,0.65823,0.46778,0.9951,0.00144751,0.00144751,0.00144751
135,519.741,0.6443,0.49799,1.01444,0.96344,0.91509,0.95566,0.75928,0.66817,0.46075,0.99166,0.00144586,0.00144586,0.00144586
136,523.356,0.64321,0.47876,1.01433,0.94912,0.92453,0.9518,0.77404,0.6433,0.46118,0.98354,0.00144421,0.00144421,0.00144421
137,527.238,0.62341,0.48979,1.00407,0.93306,0.91002,0.95373,0.76128,0.6509,0.50587,0.98501,0.00144256,0.00144256,0.00144256
138,530.835,0.63729,0.49699,1.01353,0.9527,0.91153,0.9496,0.77975,0.62524,0.48865,0.96976,0.0014409,0.0014409,0.0014409
139,535.144,0.64358,0.494,1.01804,0.94653,0.93057,0.95406,0.7665,0.64474,0.46723,0.9867,0.00143925,0.00143925,0.00143925
140,538.819,0.62971,0.49595,1.00263,0.93111,0.93396,0.95307,0.77308,0.62476,0.47697,0.97509,0.0014376,0.0014376,0.0014376
141,542.402,0.63699,0.48222,1.01324,0.95451,0.92076,0.95206,0.77312,0.63263,0.4597,0.99283,0.00143595,0.00143595,0.00143595
142,546.148,0.64295,0.48692,1.01936,0.95828,0.90501,0.95332,0.77015,0.61477,0.49525,0.97864,0.0014343,0.0014343,0.0014343
143,549.829,0.65597,0.50768,1.0232,0.93424,0.92964,0.95493,0.76987,0.63943,0.49387,0.97066,0.00143265,0.00143265,0.00143265
144,553.676,0.63167,0.48539,1.00638,0.95826,0.91242,0.94934,0.7505,0.67016,0.47046,0.97796,0.001431,0.001431,0.001431
145,557.29,0.62612,0.48109,0.99356,0.95444,0.92104,0.94732,0.75688,0.64326,0.48458,0.97362,0.00142935,0.00142935,0.00142935
146,560.924,0.64842,0.50497,1.02758,0.95797,0.91857,0.94877,0.76444,0.65417,0.5073,0.99324,0.0014277,0.0014277,0.0014277
147,564.647,0.62946,0.48017,1.00405,0.9501,0.9185,0.95089,0.78137,0.64343,0.47044,0.98564,0.00142605,0.00142605,0.00142605
148,568.779,0.6229,0.46687,0.99775,0.93132,0.93496,0.9517,0.76819,0.63016,0.47708,0.9835,0.0014244,0.0014244,0.0014244
149,572.489,0.64527,0.47628,1.01976,0.94632,0.91935,0.94708,0.76759,0.63457,0.47096,0.96916,0.00142275,0.00142275,0.00142275
150,576.123,0.63992,0.47828,1.0176,0.94857,0.93095,0.9517,0.77966,0.63025,0.46059,0.96971,0.0014211,0.0014211,0.0014211
151,579.717,0.6174,0.47362,1.00673,0.96671,0.93095,0.95306,0.77399,0.65451,0.46037,0.9861,0.00141945,0.00141945,0.00141945
152,583.284,0.63811,0.48325,1.01343,0.95185,0.93095,0.95505,0.77669,0.62607,0.46531,0.96572,0.0014178,0.0014178,0.0014178
153,586.938,0.62659,0.48863,1.00846,0.94072,0.93106,0.94862,0.7757,0.61647,0.46873,0.95322,0.00141615,0.00141615,0.00141615
154,590.926,0.60301,0.47165,0.98831,0.96614,0.90743,0.95271,0.7801,0.60553,0.46036,0.9512,0.0014145,0.0014145,0.0014145
155,594.56,0.63364,0.47298,1.00877,0.90439,0.9434,0.95364,0.78122,0.60741,0.47565,0.95312,0.00141285,0.00141285,0.00141285
156,598.461,0.62583,0.4679,1.00267,0.96519,0.90885,0.95824,0.77144,0.63447,0.45109,0.97344,0.0014112,0.0014112,0.0014112
157,602.402,0.62659,0.47179,1.00444,0.95597,0.9363,0.9594,0.77179,0.63464,0.46168,0.98888,0.00140955,0.00140955,0.00140955
158,606,0.62613,0.47119,1.00496,0.95269,0.9272,0.95332,0.77875,0.61762,0.46168,0.96245,0.0014079,0.0014079,0.0014079
159,609.635,0.62058,0.46501,1.00139,0.94116,0.93478,0.95717,0.78882,0.62281,0.48287,0.95925,0.00140625,0.00140625,0.00140625
